id,institucion_id,domicilio_id,tipo_inmueble_id,correo1,correo2,correo3,clave_centro_trabajo,telefono1,telefono2,telefono3,pagina_web,redes_sociales,especificaciones,dimensiones,created_at,updated_at,deleted_at
36,15,62,2,NULL,NULL,NULL,NULL,35-87-17-24,35-87-17-54,13-68-01-13,http://www.cakeandbake.com.mx/, NULL,-,2700,2019/10/09 13:22,2019/10/10 15:21,
37,16,633,2,udeogdli-210@hotmail.com,universitariosdeoccidentei210@gmail.com,agustinalva06@gmail.com,14PSU0143M,3336306000,3336301082,3336300432,https://soyudeo.com.mx/, Facbook: https://www.facebook.com/SoyUdeO; Twitter: https://twitter.com/SoyUdeO; Instagram: https://www.instagram.com/soyudeogdl/,-,1800,2019/10/10 16:04,2023/04/20 14:07,
38,3,65,4,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14psu0345i,8000 863,8000 833,8000 828,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,NULL,NULL,2019/10/11 17:07,2019/11/06 13:54,2019/10/11 17:15
39,17,67,2,drenc1957@gmail.com,cescs_gdl@hotmail.com,irvzhajid79@hotmail.com,NULL,3338534512,3336136993,NULL,NULL,NULL,-,380,2019/10/17 15:28,2019/10/22 16:27,
40,12,111,2,gaby.carral@enlaceoccidente.edu.mx,nayeli.becerra@enlaceoccidente.edu.mx,martha.perez@enlaceoccidente.edu.mx,14PSU0082P,33-36-15-69-29,33-36-16-83-55,33-26-86-49-59,http://www.enlaceoccidente.edu.mx, http://www.facebook.com/enlaceOccidente/,Fachada color blanco; dos pisos; cancel blanco; se encuentra en Av. Hidalgo #1310 a los cruces de José Clemente Orozco y General Coronado. Viendo de frente al lado derecho se encuentra la Notaría numero 62.,493, 2019/10/22 09:10,2022/03/08 16:53,
41,2,688,1,rectoria@unedl.edu.mx,planeacion.academica@unedl.edu.mx,vicerrectoria.academica@unedl.edu.mx,14PSU0123Z,3338273000,3338257580,NULL,https://www.unedl.edu.mx/portal/, Twitter: @UnedlU; YouTube: https://www.youtube.com/channel/UCb1gn6tWP-s19car8cfYwwA; Facebook: https://www.facebook.com/unedl.universidad; Instagram: https://www.instagram.com/unedl.universidad/,"Av. Enrique Díaz de León No. 90
Col Centro; 44160 Guadalajara; Jal.
20.6781306397745; -103.35919417438086",8473,2019/10/22 10:44,2023/09/07 12:34,
42,18,735,1,jsimon@edu.uag.mx,anabety_14@hotmail.com,jcsimon@hotmail.com,14MSU0028Y,3336100249,(331) 343-5819,NULL,http://www.uag.mx/, Facebook: uag.mx; TwItter: uag_oficial; Instagram: uag_oficial,Cerca de la Universidad Autónoma de Guadalajara,70.876,2019/10/22 12:05,2023/08/21 14:49,
43,2,72,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019/10/22 13:35,1900/01/01 00:00,2020/06/30 15:40
44,19,704,2,info@nordicouniversitario.mx,carlos.gar@hotmail.com,pedagogia@nordicouniversitario.mx,14PSU0216O,33 36 98 30,33 36 98 30,33 36 98 30,https://nordicouniversitario.mx/, FACEBOOK: INSTITUTO NÓRDICO; INSTAGRAM: INSTITUTO NÓRDICO UNIVERSITARIO,Como referencia se indica que está a un costado de la gasolinera que se ubica en el cruce de Av. La Paz y Av. Federalismo sur. ,1440,2019/10/23 12:05,2023/09/05 13:41,
45,20,75,4,pesa74@hotmail.com,marioalperezs@hotmail.com,sanarmando.perez74@gmail.com,14PSU0367U,3847382865,NULL,NULL,http://vancouvertala.com/, Facebook: @VancouverTala,NULL,NULL,2019/10/24 12:41,2019/10/25 09:07,2019/10/30 00:00
46,21,327,2,carmenbonag@yahoo.com.mx,mercedes_sal@hotmail.com,incipar@hotmail.com,14PSU0301L,(391)-91-7-14-69,(391)-91-7-21-89,33-21-64-95-93,www.incipar.com,Facebook: Incipar Pascual Rojas,NULL,1100,2019/10/24 14:42,2022/06/22 08:55,
47,2,79,1,rectoria@unedl.edu.mx,ces404@unedl.edu.mx,rectoria@unedl.edu.mx,14PSU0377A,3338253521,3338253871,NULL,https://www.unedl.edu.mx/portal/, TWITTER: @UnedlU; FACEBOOK CUENTA INSTITUCIONAL: UNEDL Universidad,"TOMAR AV. MARTIANO OTERO; Y EN LA ROTONDA TOMAR LA TERCERA SALIDA EN DIRECCIÓN A NIÑOS HÉROES;
DESPUÉS GIRAR A LA IZQUIERDA CON DIRECCIÓN A LA AV. ENRIQUE DÍAZ DE LEÓN. TIEMPO ESTIMADO 10 MINUTOS.
EL COLOR DE LA FACHADA ES BEIGE CON CAFÉ CLARO CON REJAS AL FRENTE.
AL LADO DEL CINÉPOLIS TOLSÁ.",7431,2019/10/24 15:32,2023/03/23 11:29,
48,20,81,2,pesa74@hotmail.com,marioalperezs@hotmail.com,sanarmando.perez74@gmail.com,14PSU0367U,3847382865,NULL,NULL,www.vancouvertala.com,Facebook: @vancouvertala,edificio dos plantas color tinto con gris en fachada,230.15,2019/10/25 09:18,2019/10/25 10:02,2019/10/30 00:00
49,20,82,2,pesa74@hotmail.com,marioalperezs@hotmail.com,sanarmando.perez74@hotmail.com,14PSU0367U,3847382865,NULL,NULL,http://www.vancouvertala.com, Facebook: Vancouver Tala; Twitter: @vancouvertala; Instagram: vancouvertala,Se ubica a una cuadra del cuadro principal su fachada es en color Tinto con Gris,230.15,2019/10/25 10:11,2019/10/30 14:17,2019/10/30 00:00
50,20,83,2,pesa74@hotmail.com,marioalperezs@hotmail.com,sanarmando.perez74@gmail.com,14PSU0367U,3847382865,NULL,NULL,http://www.vancouvertala.com, Facebook: Vancouver Tala; Twitter: @vancouvertala; Instagram: vancouvertala,Partiendo de la ciudad de Guadalajara se toma la carretera a Nogales rumbo a Ameca; y en el kilometro 15 gira a la izquierda ingresando por la avenida Solidaridad hasta entroncar con la entrada principal a la ciudad de Tala; por la calle Herrera y Cairo. El plantel se encuentra ubicado a una cuadra al oeste de la plaza principal. Se ingresa al municipio de Tala por la calle principal llamada Herrera y Cairo hasta la calle López Cotilla; por la que doblaremos a la derecha cuadra y media. Y del lado izquierdo se encuentra el edificio de dos plantas con de Tinto con Gris.,230.15,2019/10/25 10:20,2023/02/27 21:34,
51,22,85,3,wmur@hotmail.com,controliveitlaq@gmail.com,udn.titulacion@gmail.com,14PSU0325V,3322652938,3322652941,3322652939,https://www.udn.mx/, facebook: UDN Tlaquepaque,NULL,1769.6,2019/10/29 13:55,2023/03/28 14:44,
52,23,438,1,icmluisita@gmail.com,josrarco06@gmail.com,controlescolar@icmarialuisa.edu.mx,14PSU0291V,(391) 917 4225,NULL,NULL,NULL,https://www.facebook.com/icm.luisita ,"S I S E V I E N E D E G U A D A L A J A R A C O N R U M B O A L M U N I C I P I O A T O T O N I L C O E L A L T O ; E N L A G L O R I E T A S E T O M A
L A 2.' S A L I D A E N DIRECCIÓN A A T O T O N i L C O E L A L T O - D E G O L L A D O / A V . INDEPENDENCIA/MÉXICO 90; S E CONTINÚA
R E C T O 2.7 K M . DESPUÉS S E G I R A A L A I Z Q U I E R D A C O N DIRECCIÓN A C A L L E M A D E R O ; L A INSTITUCIÓN C U E N T A C O N
U N A F A C H A D A D E C O L O R SALMÓN Y V I V O S E N N A R A N J A ; C O N P U E R T A Y V E N T A N A S E N C O L O R N E G R O . E N F R E N T E S E
E N C U E N T R A E L L A B O R A T O R I O D E ANÁLISIS CLÍNICOS "" S I L V I A""",235.71,2019/10/30 13:21,2021/10/05 20:01,
53,24,88,4,violetacarrillo@instamerica.edu.mx,NULL,NULL,NULL,33-36-13-25-55,33-36-62-73-58,NULL,http://www.instamerica.edu.mx/, NULL ,NULL,NULL,2019/10/31 11:26,2019/11/15 13:11,
54,25,90,2,imep@imep.edu.mx,juanpizano@imep.edu.mx,perusquia@imep.edu.mx,14PSU0164Z,33 36 56 45 14,33 36 33 00 61,NULL,http://www.imep.edu.mx, Facebook IMEP Jalisco - Instituto Mexicano de Estudios Pedagógicos A C,NULL,396,2019/11/01 11:32,2023/07/26 12:50,
55,26,668,2,eespinosa@uve.edu.mx,respinosa@uve.edu.mx,eespinosa@uve.edu.mx,14MSU0245M,3336584839,3336583948,NULL,http://www.uve.edu.mx, @Universidad.Virtual.UVE,n/a,400,2019/11/01 12:13,2022/12/13 07:33,
56,27,737,2,cappza@hotmail.com,claudia.delfin21@gmail.com,rodrigo.cano.guzman@gmail.com,14PSU0299N,(01341)4131355,3414390693,3414390909,http://cappza.com/centroeducativosuperior/, Centro Educativo Superior de Zapotlán (CESZ),Construcción de dos plantas; con cochera para dos autos en la parte de enfrente y contamos con estacionamiento a un costado izquierdo. ,198,2019/11/06 16:11,2023/09/04 11:40,
57,28,718,2,se_kintu@outlook.com,institutokintu@gmail.com,ceciliaalvareztorres@yahoo.com.mx,14PSU0282N,33-33-35-45-82,33-37-00-12-91,33-10-48-02-96,http://kintu.mx/, Instituto kintu gdl Dra. Cecilia Alvarez Torres; Programa de Acompañamiento Humano,"CÓMO LLEGAR. El Instituto se encuentra Ubicado en la calle Francisco I. Madero; entre la Calzada Federalismo y la plaza del templo Expiatorio. A dos calles laterales del parque Rojo.
La fachada tiene un color verde que le distingue y resalta de las casa adjuntas.
https://www.google.com.mx/search?source=hp&ei=miwZXuOyAoactgXD7Z7YDw&q=Francisco+I.+Madero+No.+729%2C+guadalajara&oq=Francisco+I.+Madero+No.+729%2C+guadalajara&gs_l=psy-ab.3..38l4.11161.16838..18088...0.0..0.179.1245.13j1......0....2j1..gws-wiz.5OKbaG2z80s&ved=0ahUKEwjj58WGuvrmAhUGjq0KHcO2B_sQ4dUDCAY&uact=5
",421.8,2019/11/07 11:04,2023/08/18 11:20,
58,29,96,2,bertha.reyes@uvas.edu.mx,sreyes@uvas.edu.mx,rectoria@uvas.edu.mx,1PSU0304I,(475)9532424,(449)9180866,NULL,www.uvas.edu.mx,NULL,Entre las calles San Juan y Dr. Valentín Gómez Farías; espalda con la calle Carmen González y Muñoz.,NULL,2019/11/07 14:11,2022/03/03 14:30,
59,29,97,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019/11/07 14:18,1900/01/01 00:00,2019/11/07 14:18
60,30,299,2,imaginar_t@hotmail.com,academico@ciind.edu.mx,administracion@ciind.edu.mx,14PSU0337Z,(33) 3123 1419,(33) 31232324,(33)23039505,http://ciind.edu.mx, @ciindimaginarte,NULL,1246,2019/11/11 12:27,2022/12/05 10:33,
61,14,681,3,rectoria@ual.edu.mx,vicerrectoria@ual.edu.mx,lulagrea@hotmail.com,14PSU0175E,47777100 ext(1001;1014 ;1018),NULL,NULL,NULL,NULL,NULL,1750,2019/11/11 16:07,2022/11/30 14:46,
62,31,103,2,umsigloxxi@gmail.com,kityn_02@hotmail.com,ceciaurecastro@hotmail.com,14PSUO187J,39-29-23-17-42,NULL,NULL,NULL,NULL,NULL,15550.138,2019/11/12 13:39,2022/11/04 11:41,
63,32,105,2,eddi_1369@hotmail.com,adriandelpozo@hotmail.com,memo2809@hotmail.com,14PSU0298O,35630661,35620357,35620358,NULL,NULL,NULL,NULL,2019/11/13 10:12,2023/05/29 12:42,
64,33,107,1,irving@uartesdigitales.edu.mx,knavarro@uartesdigitales.edu.mx,jaguinaga@uartesdigitales.edu.mx,14PSU0171I,0133 36282420 EXT(1050),33 13844350,NULL,NULL, http://facebook.com/UniversidaddeAr; tesDigitales,FRENTE A GLORIETA DEL INGENIERO,NULL,2019/11/14 09:21,2023/07/22 10:05,
65,34,112,1,NULL,NULL,NULL,NULL,33 1543 2800,NULL,NULL,https://sicyt.jalisco.gob.mx/,Facebook: https://www.facebook.com/GobiernoJalisco/?fref=ts; Twitter: https://twitter.com/GobiernoJalisco; Youtube: https://www.youtube.com/channel/UCQBDDUradzK_8kVbLHvzVeg,NULL,20,2019/11/21 11:13,2023/08/07 11:10,
66,29,115,1,julio.reyes@uvas.edu.mx,bertha.reyes@uvas.edu.mx,sreyes@uvas.edu.mx,14PSU0304I,475-953-24-24,NULL,NULL,http://www.uvas.edu.mx/, Facebook: Universidad Villasunción; Campus Encarnación de Díaz.,entre las calles Juan C. Parga  y Pedro Villalobos a espaldas de la Calle San Juan ,0,2019/11/26 11:31,2022/03/04 14:56,
67,36,116,2,udp.enlace@gmail.com,clara.udp@gmail.com,udpcalificaciones@gmail.com,14PSU0387H,3320789769,3338153499,3327121102,https://www.miudp.com/, Universidad del Pacifico ,El plantel se encuentra ubicado en la esquina conformada por la calle José Guadalupe Montenegro y la Calle Simon Bolívar; siendo de fachada blanca; 3 plantas y  6 cajones exclusivos de estacionamiento. ,275,2019/11/26 12:44,2021/02/02 15:52,
68,37,118,2,dolores.ledesma@etta.edu.mx,salgome@hotmail.com,madol_ledesma@hotmail.com,14PSU0434B,3326085349,33-36-15-40-08,3310204053,https://esci.edu.mx/, facebook  etta esci oficial; pagina Internet https://esci.edu.mx/,El plantel se localiza sobre la Av. Vallarta; al cruce de las  calles  Chapultepec y Marsella. El color de la fachada es ostión  con dos letreros en color plateado.,1998, 2019/11/26 18:08,2023/03/01 13:09,
69,39,119,4,cep.licenciaturas@gmail.com,tepa_yesus@hotmail.com,gusa07@hotmail.com,14PSU0408D,33-12-03-05-55,33-13-40-99-18,NULL,http://www.cuep.mx, https://www.facebook.com/CEPBISOFICIAL/; https://www.facebook.com/prepaCEP/,"Cómo llegar:
1.- A seis cuadras de la estación Juárez del tren ligero dirección Oriente
2.- A tres cuadras de la estación Universidad del tren Ligero Dirección Poniente.
3.- A una cuadra de las rutas de Transporte 51; 52; 231; 629 y línea 3 Trolebús en Dirección Centro de la Ciudad.
4.- Color de fachada ladrillo con distintivos color dorado cercano a la esquina de calle Colón en Dirección Poniente.
",NULL,2019/11/27 13:49,2023/02/15 16:32,
70,40,121,1,dcoronadop@yahoo.com.mx,mapahdez@hotmail.com,claudia.cudem@yahoo.com,NULL,33-42-30-00,3317800324,3317801999,http://universidadcudem.com.mx, Facebook: Universidad Cudem,"Estamos ubicados en la col. Monumental  a unas cuadras de la  Calzada Independencia Nte. arteria principal de la cuidad de Guadalajara por la Avenida Circunvalación Dr. Atl.

Nuestra fachada es de color gris oscuro; con reja tipo europea.
",1800,2019/11/28 12:20,2020/01/30 12:31,
71,42,127,1,sub_dir@campusoctaviopaz.com.mx,direccion@campusoctaviopaz.com.mx,rectoria@campusoctaviopaz.com.mx,NULL,01-376-106-1623,01-376-766-2252,01-376-106-0859,www.campusoctaviopaz.edu.mx,FACEBOOK CAMPUS UNIVERSITARIO OCTAVIO PAZ,"1.-EN LA GLORIETA DE ÁLAMO EN LA SALIDA DE GUADALAJARA; TOMAR LA CARRETERA GUADALAJARA-CHAPALA DIRECCIÓN A CHAPALA DURANTE 40 KM.
2.-2 KILÓMETROS ANTES DE LLEGAR A CHAPALA; TOMAR EL LIBRAMIENTO CHAPALA-JOCOTEPEC CON DIRECCIÓN A JOCOTEPEC; DURANTE 5 KM.
3.-EN EL ENTRONQUE DEL LIBRAMIENTO CON LA CARRETERA CHAPALA-JOCOTEPEC FRENTE DE LA TIENDA DE AUTOSERVICIO WALMART; TOMAR A LA DERECHA CON DIRECCIÓN A JOCOTEPEC DURANTE 10 KM.
4.-PASANDO LA POBLACIÓN DE AJIJIC APROXIMADAMENTE 2 KM.; SE ENCONTRARÁ LAS INSTALACIONES DEL CAMPUS UNIVERSITARIO OCTAVIO PAZ A MANO IZQUIERDA Y SOBRE LA CARRETERA.
5.- CON UN MURO DE COLOR ROJO; AMARILLO Y AZUL MARINO DE APROXIMADAMENTE 50 METROS DE LARGO Y UN PORTÓN NEGRO; ASÍ COMO; DISTINTOS CARTELES Y/O ANUNCIOS DEL MISMO.
",4005.43,2019/12/03 12:29,2020/02/14 10:45,
72,10,128,2,controlactividadesuea@gmail.com,rectoria.uea@hotmail.com,lizperez.uea@gmail.com,14PSU0329R,3336151333,3339683881,NULL,https://ueauniversidad.mx/, NULL,NULL,1180.7,2019/12/04 10:01,2021/10/15 19:07,
73,185,676,2,diana.alvarez@era21.com,equinonez@hotmail.com,ucvaldez@hotmail.com,14PSU0267V,3336580834,3338085345,3338085111,https://www.unisite.mx/, Facebook: Universidad Unisite; email: informes.unisite@gmail.com; whatsap: 3312317323,NULL,800,2019/12/04 11:32,2023/09/01 15:06,
