id,usuario_id,nombre,razon_social,clave_ies,historia,vision,mision,valores_institucionales,created_at
119,490,Instituto Americano de Estudios Abiertos,Instituto Americano de Estudios Abiertos A.C.,NULL,"El Instituto Americano de Estudios Abiertos es una Asociación Civil que inicia operaciones en diciembre de 1999 con el objetivo de seleccionar asesorar y capacitar al personal que labora en las organizaciones de los diversos sectores en el Estado de Jalisco. Gracias al excelente desempeño en el Estado se ha podido trascender al resto del país logrando planear desarrollar y coordinar importantes programas y proyectos en Colima Monterrey Mérida Chihuahua Puerto Vallarta Veracruz y la Ciudad de México. En este tiempo se han atendido a más de 30 organizaciones de todos los sectores así como aproximadamente 5000 empleados pertenecientes a estas mismas. Nuestro objetivo es lograr ser la principal opción en servicios de asesoría y capacitación buscando la vinculación con Organismos Públicos y privados para fortalecer y ampliar el campo de acción y así poder corresponder a la demanda del mercado ","Trabajar en los modelos de innovación educativa de manera continua y de calidad. Complementado por nuevas formas de enseñanza aprendizaje para alcanzar en el 2027 ser la escuela líder de ingeniería industrial en nuestro estado. Y llegar al año 2030 siendo parte de la generación 4.0 Nuestra innovadora oferta educativa es acorde a las necesidades del mundo moderno de vanguardia variada flexible y accesible. Nuestros altos estándares de calidad y servicio están sustentados en personal altamente calificado y actualizado procesos administrativos eficaces y eficientes con tecnología e infraestructura física adecuada. Impulsamos la competitividad y desarrollo económico de los diferentes sectores de la sociedad identificando y atendiendo sus necesidades específicas de educación continua. ",INAESA tiene como misión formar estudiantes que se transformen  en personas con una visión integral de su responsabilidad en el buen ser y en el buen hacer como profesionales y como ciudadanos capaces de responder al compromiso de buscar la mejora continua y utilizar de manera responsable el uso sostenible de los recursos naturales. Además de promover a través de todas las actividades el comportamiento ético de la comunidad educativa INAESA  centrado en  los valores  teniendo como eje regulador el respeto del buen ser y del buen hacer fomentando el espíritu de superación personal,"INAESA se rige bajo los valores de colaboración respeto y equidad con una interacción responsable y honesta hacia la sociedad transparencia y lealtad acompañada del compromiso social que implica la educación. Nuestros valores son: •	Innovación: Prepararnos para asumir riesgos romper paradigmas y transformar ideas en proyectos •	Persona: Respetar la dignidad de las personas y ser solidarios •	Trabajo en equipo: Vivir las ventajas del trabajo colaborativo •	Inclusión: Aceptar y respetar a la singularidad de los individuos •	Integridad: Identificar como vivir los valores de manera congruente •	Rol: Nos lleva a pensar y respetar el rol del otro para crear un mundo sostenible ",2021/06/16 14:01,2023/09/09 15:53
120,502, Universidad de Tecnologías Avanzadas,UNIAT AC,NULL,"Desde su fundación en el año 2003 UNIAT ha preparado egresados competitivos y destacados en los entornos de Tecnologías Digitales. University of Advanced Technologies (UNIAT) reconoce los retos de los sectores industriales a los que se enfrentan las corporaciones hoy en día es por ello que ha logrado posicionarse como una compañía líder en el desarrollo de talento para las industrias de TI Multimedia y Manufactura. UNIAT forma parte del grupo 3DMX Inc. con headquarters en Silicon Valley California. El tener estas oficinas donde la Tecnología nace permite recibir un constante flujo de información sobre las tendencias y necesidades de las diferentes Industrias. Esto permite que el equipo académico anticipe las innovaciones dentro de distintos campos laborales todo esto con el fin de renovar y mejorar la oferta académica que se encuentra en México. Desde su fundación en el año 2003 UNIAT ha preparado egresados competitivos que pueden sobresalir en los entornos Tecnológicos. UNIAT está comprometido a mantenerse actualizado en las más grandes y crecientes áreas de empleo en Tecnologías Digitales tales como: Animación por Computadora Cine Digital Desarrollo de Software Diseño de Contenido Gráfico Diseño y Desarrollo de Aplicaciones Móviles Diseño y Desarrollo de Videojuegos Técnicas de Manufactura Avanzada Visualización y Simulación Con base en la experiencia como Universidad líder en Tecnologías Digitales y en respuesta a las exigencias de los clientes UNIAT comienza con su oferta educativa en vivo y online en el año 2013 logrando que estos Cursos tengan reconocimiento a nivel nacional e internacional. Hoy en día los Cursos se encuentran disponibles en inglés y español haciendo posible que puedan ser tomados por cualquier persona en cualquier parte del mundo. La clave de todas las organizaciones es su gente. UNIAT pone el ejemplo al contratar y asociarse con instructores expertos en diferentes áreas de trabajo de tal manera que ellos puedan compartir experiencias y entrenar a los alumnos en los puntos relevantes que requiere el mundo laboral actual",Ser la universidad líder en enseñanza de tecnología digital a nivel nacional e internacional logrando un alcance a través de sus programas educativos de educación superior. ,Formar profesionistas altamente calificados en el uso creación y desarrollo de la tecnología digital preparados para una vida profesional exigente una vida social útil y con valoración de la identidad nacional así como instruir en ellos la mentalidad de trabajo eficiente con las exigencias y demandas que dicta el campo laboral de la actualidad. Todo con un espíritu de trabajo en equipo que cubra problemas comunes para la obtención de soluciones globales que fomente el respeto hacia los demás un gran sentido de cooperación con la sociedad y deseos de mejorar su medio ambiente.,"- Innovación: reinvención día con día para crecer y ofrecer un mejoramiento continuo que sea el plus para cada nueva generación. - Creatividad: UNIAT se enfrenta a todos los retos de la vida educativa y empresarial con soluciones alternativas y creativas eliminando el pensamiento tradicional rompiendo con paradigmas estableciendo nuevos hitos en la educación y aprovechando las nuevas tecnologías. - Trabajo en equipo: sistema en donde todas las piezas son clave para el cumplimiento de los objetivos todas y todos los colaboradores trabajan para el éxito de los demás. - Tolerancia libertad y respeto: la universidad fomenta la diferencia porque la creemos enriquecedora. Se alientan todas las formas de pensar y creencias ideológicas y se respetan la imagen la individualidad y la identidad de todas y todos los miembros de la comunidad universitaria.",2021/06/30 15:56,2023/07/20 15:45
121,505,Centro Rural de Educación Superior Estipac,Instituto Cultural del Valle de Ameca A.C.,NULL,"● En 1980 El Centro Rural de Educación Superior inicia sus actividades con la normal de Educadoras del Campo y para el Campo. ● En 1984 se inició el Bachillerato General y la Carrera Técnica Profesional en Puericultura. La Carrera de Educadora se elevó a nivel de Licenciatura en Educación Preescolar. ● En 1985 Inició Bachillerato con la Carrera Técnica Profesional en Desarrollo de Comunidad. ● En 1992 llegó a la Institución el primer indígena de la etnia Chontal del Estado de Tabasco. Esto planteó el reto de integrar a jóvenes indígenas bilingües en la Institución respetando y entiendo las diferencias culturales y su identidad. ● En 1994 se inicia el proyecto de Granja Ecológica. Integrada. ● En 1995 se abre la Licenciatura con Educación Primaria ● En 1996 llegó el primer indígena Huichol de Jalisco abriéndose la posibilidad de intervenir en una etnia de manera intensiva dada la cercanía territorial. A partir de este año se incrementó considerablemente el número de jóvenes que llegaban a estudiar al CRES ESTIPAC •	En el año de 1997 con el apoyo de un grupo de señoras de la sociedad de Jalisco se constituye la Fundación con los Niños y Familias del Campo IAP para apoyar la parte asistenciales de jóvenes indígenas que consiste en hospedaje y alimentación para que puedan continuar con sus estudios. •	En 1998 Se construyen los dos edificios para las Licenciaturas con el apoyo de Nacional Monte de Piedad. ● En 2000 se revisa y evalúa el Plan Institucional y se elaboró el plan estratégico 2000- 2012. ● En 2001 desde este año y durante varios añosse imparten Diplomados para Jefes de Albergues Indígenas de Jalisco y San Luis Potosí en coordinación con el Instituto Nacional Indigenista (INI) actualmente la Comisión Nacional para el Desarrollo de los Pueblos Indígenas (CDI). En el mismo año se funda un Bachillerato Náhuatl Cuauhtlatoatzin en la Sierra Norte de Puebla como una réplica del Modelo Educativo del CRES en San Andrés Tzicuilan con maestros exalumnos del mismo CRES ESTIPAC. Ese mismo año y derivado del aumento de jóvenes indígenas se gestionó con al Nacional Monte de Piedad la construcción de las dos hospederías  una para 100 varones y otra para 64 mujeres. ● En 2004 con el apoyo de INDESOL se lleva a cabo una Investigación de campo con el nombre de “Una Experiencia Educativa Exitosa para el Desarrollo Rural” mediante la cual se realizaron encuestas de campo con el propósito de medir el impacto de los exalumnos y que dio por resultado la primera edición del libro del Modelo Educativo titulado “Por una Educación Integral e Integradora para el Desarrollo del Campo y de las Etnias de México” ● En 2007 se le da un impulso al área productiva con el proyecto de una hectárea de invernadero con tecnología semi-hidropónica. A la vez se equiparon 11  invernaderos de 300 mts. cada uno para aprendizaje y práctica de los jóvenes. ● En 2011 se evalúa el plan estratégico con el apoyo de INDEC y se realiza la planeación estratégica 2012 -2015. ● En 2013 se realizó la renovación de los miembros del Patronato de las figuras legales que conforman el CRES ESTIPAC. ● En 2014 con el propósito de continuar con la profesionalización se elaboraron  perfiles de puesto. ● En 2015 salió la segunda edición del libro del Modelo Educativo y se revisó la planeación de 2012-2015 iniciando la planeación estratégica 2015-2025. Este mismo año se inició con la carrera de Educación e Innovación Tecnológica en modalidad be-learning (presencial y en plataforma) siendo la primera de un proyecto de tres carreras para compartir el Modelo Educativo en zonas rurales e indígenas. ● En 2016 se tuvo la oportunidad de trabajar la “Teoría de Cambio” con el apoyo del Nacional Monte de Piedad que nos llevó a fortalecer la Institucionalización reflexionar sobre  nuestro Modelo Educa_ tivo y a enriquecer la planeación estratégica 2015-2025 EN 2017 se están gestionando dos licenciaturas más Licenciatura de Innovación Social para el Desarrollo Sostenible e Ingeniería Agrícola ambiental complementando asi las 3 licenciaturas que pretenden promover el desarrollo sostenible ofertándolas a comunidades indígenas y campesinas en modalidad B-learning  . •	En 2018 se tuvo un fuerte incremento de alumnos principalmente mujeres indígenas tanto para preparatoria como para las licenciaturas teniendo una plantilla de 389 jóvenes en los diferentes niveles. ","Contribuir a la formación de una corriente educativa que transforme a las comunidades en más humanas fraternas justas proactivas y auto-gestivas para que de esta manera construyan su propio bienestar el bien común y la paz. La Misión y Visión de la Educación del CRES están inspirados por el gran interés y decisión de apoyar sustancialmente a los jóvenes campesinos e indígenas de nuestra Escuela. Esto ha llevado a enriquecer el Marco Pedagógico Oficial desarrollando herramientas precisas y adecuadas a las necesidades particulares y apremiantes de los alumnos y de su entorno de vida. Para ello se han diseñado y desarrollado aprendizajes experiencias y reflexiones que documentamos y sistematizamos. ",Despertar en los jóvenes campesinos e indígenas la conciencia de todo lo que son capaces de “ser” y “hacer” a través de una educación media superior y superior basada en un Modelo Educativo Integral e Integrador para transformarlos en líderes positivos que impulsen el bienestar en sus comunidades.,"Educar a vivir en la verdad Ser de un solo rostro y una sola palabra Libertad Unidad Trabajo",2021/07/01 14:03,2023/07/10 16:33
122,506,Centro Universitario Jalisco,Estudios Superiores de Occidente UJ,NULL,En Abril de 2016 el Centro Universitario Jalisco nace como una AC Estudios Superiores de Occidente UJ una vez conformada se realizan los estudios y trámites necesarios ante la Secretaría de Innovación Ciencia y Tecnología en el mismo año 3 años después 2019 y cumpliendo con todas las disposiciones recibimos nuestros primeros 3 RVOES y registro ante la SEP de las carreras de Licenciatura en Administración de Empresas Licenciatura en Derecho y Licenciatura en Mercadotecnia ese mismos año arrancamos servicios educativos con nuestra primer generación de 12 alumnos a finales de 2019 recibimos el resto de RVOES tramitados y a partir de entonces tenemos una generación de alumnos cada año.,Ser una institución reconocida por su liderazgo en el desarrollo del conocimiento nacional formando profesionistas talentosos innovadores y emprendedores del país y altos índices de innovación así como de la producción y transferencia de propiedad intelectual entre las instituciones de educación superior de México.,Somos una institución de educación superior educativa moderna e innovadora orientada al futuro para formar profesionistas productivos que agreguen valor a la región y a la sociedad. Queremos formar personas con alto sentido social y humano competentes en su trabajo. Con espíritu emprendedor y capaces de encabezar proyectos.,"Asentada en una filosofía humanista el Centro Universitario Jalisco promueve entre la comunidad educativa los valores de respeto responsabilidad orden libertad equidad justicia lealtad solidaridad trabajo y espíritu de servicio. Además tiene los siguientes principios y compromisos institucionales: Talento emprendedor. Internacionalidad. Desarrollo del ser humano. Colegialidad. Mejoramiento institucional. Extensión y difusión cultural. Compromiso con los egresados. Sustentabilidad. Formación integral de los alumnos. Universalidad. Libertad de expresión. Libertad académica. Responsabilidad social. Participación ciudadana. Estado de derecho. Innovación. Creatividad. Uso de tecnología.",2021/07/01 16:37,2023/08/10 13:33
123,507,Universidad Metropolitana Latin Campus,Instituto Nacional de Estudios Superiores S.C,NULL,"La inquietud y el deseo de cambiar la manera tradicional de obtener los conocimientos y un título universitario sin la obligación de asistir a una institución escolarizada dio origen a buscar la manera de hacerlo y tuvimos la oportunidad de que la Secretaría de Educación Jalisco nos otorgara en el año 2001 nuestro primer RVOE en la modalidad No Escolarizada siendo una de las primeras instituciones en el Estado y en el país en ofrecer estudios a distancia. Con esa autorización nuestros primeros alumnos comenzaron a estudiar en casa o en el lugar de su preferencia pero debían presentar sus evaluaciones de manera presencial y por escrito en las instalaciones de la institución. Los alumnos que radicaban fuera de la ciudad de Guadalajara tenían que viajar para presentar sus evaluaciones en las instalaciones de la institución. Algunos años después con las facilidades de tener en casa Internet y el correo electrónico tuvimos la oportunidad de crear nuestra primera plataforma digital en el año 2009 con la ventaja de que los alumnos evitan viajar para presentar sus evaluaciones ahorrando con ellos gastos de transporte tiempo y riesgos durante el viaje. La plataforma se ha ido mejorando y actualizando de tal forma que los alumnos además de presentar sus evaluaciones pueden consultar su historial académico sus pagos presentar evaluaciones etc. durante las 24 horas los 365 días de año sin necesidad de viajar economizando tiempo y dinero en el transporte además de los riesgos de viaje. De igual manera los alumnos tenían que comprar en librería el o los textos de la asignatura por cursar. Actualmente nuestra institución les proporciona el material de estudio incluido en el costo de su colegiatura evitando con ello un desembolso extra ahorrando tiempo y dinero en la búsqueda de textos en librerías. Las evaluaciones se presentan por Internet con la ventaja de no viajar y de poder presentarlas a la hora que el alumno desee hacerlo. Ninguna evaluación es igual a otra ya que el sistema selecciona aleatoriamente las preguntas de una base de datos y la presenta también en un orden aleatorio tienen un tiempo máximo para cada respuesta y para la totalidad de estas además recibe retroalimentación y calificación al término de su evaluación. ","Nuestro objetivo primordial es coadyuvar en la formación de hombres y mujeres capaces de realizar las actividades que exigen su propio desenvolvimiento dentro de una sociedad en proceso de democratización y globalización. Nuestra finalidad es formar personas responsables creativas y críticas capaces de intervenir proactivamente en la transformación de la sociedad. A nuestros estudiantes les ofrecemos no estudios largos en los que tres cuartas partes si no es que más son eliminados sino planes de estudios más realistas y accesibles para ellos. Dada la gran deserción que tradicionalmente se ha tenido en el nivel educativo superior por motivos de sobra conocidos La Universidad Metropolitana Latin Campus también recogerá a todos las personas que tengan inconclusos sus estudios y les tramitará su “Equivalencia de Estudios” correspondiente ante las autoridades educativas del Estado de Jalisco. Las limitaciones de la educación escolarizada la necesidad de obtener conocimientos y la de combinar el estudio con el trabajo son algunas razones que dieron origen a este sistema de educación en el mundo. ","Nuestra misión primordial es coadyuvar en la formación de hombres y mujeres capaces de realizar las actividades que exigen su propio desenvolvimiento dentro de una sociedad en proceso de democratización y globalización. Nuestra finalidad es formar personas responsables creativas y críticas capaces de intervenir proactivamente en la transformación de la sociedad. A nuestros estudiantes les ofrecemos no estudios largos en los que tres cuartas partes si no es que más son eliminados sino planes de estudios más realistas y accesibles para ellos. Dada la gran deserción que tradicionalmente se ha tenido en el nivel educativo superior por motivos de sobra conocidos La Universidad Metropolitana Latin Campus también recogerá a todos las personas que tengan inconclusos sus estudios y les tramitará su “Equivalencia de Estudios” correspondiente ante las autoridades educativas del Estado de Jalisco. Las limitaciones de la educación escolarizada la necesidad de obtener conocimientos y la de combinar el estudio con el trabajo son algunas razones que dieron origen a este sistema de educación en el mundo. ","LIBERTAD: Es la capacidad que tiene el sujeto humano para tomar todo tipo de decisiones en lo que respecta a su estilo de vida a sus creencias a sus valores y a sus modos de conocimiento. La libertad nunca debe afectar al otro ser humano. DIGNIDAD HUMANA: Principio intrínseco y supremo que cualquier ser humano puede contribuir a desarrollar a través de sus acciones y comportamiento Independientemente de la situación económica social cultural o ideológica que una persona presente. Para la dignidad humana no importa qué se piensa sino más bien qué se hace con ese pensamiento. TOLERANCIA. Actitud o manera de actuar una forma de ser que se basa en la idea de que todos los seres humanos somos iguales y que por lo tanto debemos respetarnos protegernos y aceptarnos tal cual somos sin generar divisiones que nos enfrenten sin agredir o discriminar.  La tolerancia la convivencia y la paz son la clave de armonía institucional. AUTONOMÍA: capacidad que tiene el ser humano de actúa con independencia y libertad siendo totalmente capaz de tomas decisiones que atañen sus interese y permitan mejorar las condiciones de una comunidad. ",2021/07/05 14:10,2021/12/09 12:39
124,471,APV Academy,APV Crecer Con Valor SC,NULL,NULL,"En el 2022 seremos una empresa institucional de gran impacto en el Occidente del país creciendo constantemente. Logrando: Procesos de consultoría y de entrenamiento institucionalizados. Documentar 30 casos de éxito en APV academy y Consultoría (Proyectos). Consolidar a APV Academy logrando su estabilidad económica. Desarrollar colaboradores especializados en cada servicio de consultoría y facilitadores especializados en cada taller. Vivir una cultura de colaboración de alto nivel profesional que brinde satisfacción a todos los participantes.",Satisfacer a nuestros clientes con servicios de consultoría y entrenamiento comercial y desarrollo organizacional de alto impacto orientados a crecer el valor de las empresas mediante un equipo de colaboradores comprometido y profesional.,"Compromiso: Con nuestros clientes y con su crecimiento rentable con la sociedad ayudando a crear fuentes de empleo y con nuestras familias. Nos apasiona lo que hacemos. Innovación: Facilitamos el cambio ordenado de las organizaciones con las que colaboramos dándoles soluciones creativas incorporamos las mejores prácticas. Confiabilidad: Por nuestras competencias atención y empatía basados en nuestra experiencia. Creamos soluciones prácticas fáciles de implementar. Integración: Nuestro pensar y hacer están alineados . Creemos en la productividad cotidiana  en la disciplina y en el respeto a los demás. Somos un equipo de alto desempeño. ",2021/07/06 10:03,2021/07/06 10:15
125,510,Escuela Homeópatas Puros,Homeópatas Puros A.C.,NULL,"La Escuela Homeópatas Puros fue fundada hace 38 años el 15 de Febrero de 1983 con la finalidad de dar a conocer la Terapéutica Homeopática Hahnemanniana en una búsqueda por llevar salud a las personas más necesitadas y de escasos recursos de nuestra sociedad y caracterizada por una formación homeopática unicista apegada a la filosofía Hahnemanniana. Durante todos estos años ha respondido a la fuerte necesidad de poner al alcance de personas de bajos ingresos la oportunidad de encontrar la salud de una manera rápida suave y permanente. Y dedicada a la concientización y al conocimiento de la existencia de una terapéutica integral que no presenta efectos secundarios no deseados y al desarrollo económico social político y cultural del país al permitir el pleno y adecuado desarrollo del individuo dentro de sus actividades cotidianas (menos ausentismo laboral escolar etc.). Como Institución Educativa ofrece una Licenciatura en Homeopatía para todas aquellas personas que desean dedicarse a una terapéutica que permita una alta individualización del paciente y a los egresados contribuir a formar una sociedad sana a la cual todos sus individuos tengan derecho a pertenecer. ",Preparar homeópatas capacitados mediante la facilitación de la enseñanza de la homeopatía a todos los niveles en beneficio de la sociedad.,Concebimos al ser humano como un ser integral en búsqueda de su equilibrio físico mental y social con libertad de albedrío perfectible y falible pero no incapaz de asumir con responsabilidad sencillez y fortaleza todo aquello que lo ayude a buscar su realización y a descubrir por si mismo los más altos fines a los que ha sido diseñado en su existencia. Principio que llevado al campo pedagógico nos hace concebir al alumno como un ser que bajo la autodeterminación consciente y la gestión autónoma se va formando a sí mismo al tiempo que va cubriendo las metas educacionales del programa que se propone insistiendo que como recurso humano promotor de la salud le permita ser un instrumento al individuo doliente de hacer consciente aquello que lo aqueja y sin perder la objetividad lo que va más allá de lo únicamente tangible.,"Nuestros principales valores institucionales son: servicio respeto desarrollo y virtud. SERVICIO. Nuestro valor principal al formar profesionales en la Terapéutica Homeopática Hahnemanniana con un fuerte sentido de servicio encaminado a la solución de problemas de salud. RESPETO. Al preparar a nuestros alumnos en la Homeopatía Hahnemanniana inculcamos el respeto e intercambio a otras corrientes homeopáticas no ortodoxas. DESARROLLO. Buscamos el continuo desarrollo de la institución a través de la investigación e intercambio con otras instituciones educativas afines. VIRTUD. Es la acción llevada a la excelencia en base a una rectitud ponderable motivadora. Estos valores se ven expresados en los siguientes propósitos: •	Promover la salud integral del ser humano. •	Salvaguardar la vida y sus manifestaciones. •	Ayudar al pleno desarrollo del ser humano y de la sociedad. Aliviar el dolor y sufrimiento humano. •	Facilitar una mejor calidad de vida tanto al hombre sano como al enfermo. •	Ayudar a la integración familiar. •	Contribuir a la formación de una sociedad más conciente de la necesidad del desarrollo permanente del individuo. •	Dar a conocer la importancia que tiene el cuidado del mundo en que vivimos de una manera ecológica. ",2021/07/06 13:38,2021/10/09 13:51
126,512,Instituto Bateson de Psicoterapia Sistémica ,Instituto Bateson de Psicoterapia Sistémica A.C.,NULL,"El Instituto Bateson de Psicoterapia Sistémica (IBAPS) está dedicado a la investigación entrenamiento trabajo clínico y comunitario en orden a la exploración e investigación de la complejidad de las relaciones interpersonales y comunitarias así como a la creación de herramientas prácticas para ayudar a las personas a definir sus problemas encontrar soluciones y modos preferentes de vida.  Creemos firmemente en la habilidad de las personas familias y comunidades de ser autores de sus propias vidas y hacer cambios basados en su experiencia y habilidades particulares. Somos una institución que en su labor educativa busca formar en sus egresados los recursos humanos necesarios para atender los múltiples problemas familiares en donde se puedan conjugar las habilidades clínicas la visión sistémica y ecológica junto con una sólida preparación en metodología de la investigación que permita generar nuevas ideas y soluciones adecuadas a la cultura e ideología propias de nuestro país. ",Ser una institución con calidad en los servicios educativos con personal calificado y cualificado en la formación de profesionales comprometidos con su entorno. Ser una institución con calidad en los servicios educativos con personal calificado y cualificado en la formación de profesionales comprometidos con su entorno.,Formar especialistas éticos capaces de generar nuevas alternativas de intervención psicológica a partir de una epistemología sistémica haciendo uso de un adecuado manejo de técnicas y herramientas para promover la calidad de vida en los distintos contextos socioculturales.,Concebimos al ser humano como un ser-en-relación y en constante transformación. Valoramos la expresión de la experiencia de todos aquellos que creen que a través del proceso terapéutico se elaboran nuevas posibilidades para encontrar soluciones reescribir historias y ampliar los significados de nuestras experiencias con una visión sistémica y ecológica. Concebimos al ser humano como un ser-en-relación y en constante transformación. Valoramos la expresión de la experiencia de todos aquellos que creen que a través del proceso terapéutico se elaboran nuevas posibilidades para encontrar soluciones reescribir historias y ampliar los significados de nuestras experiencias con una visión sistémica y ecológica.,2021/07/06 16:05,2022/02/05 10:46
128,514,ITED Instituto Teológico Digital,Instituto Teológico Digital,NULL,"En junio de 2014 aconteció una especie de casualidad pues un grupo de amigos que se dedicaban unos al mundo de los negocios y otros al ámbito académico se dieron cuenta que compartían los mismos ideales y objetivos a favor de México. Vieron que podían hacer sinergia empresa y educación para impulsar en nuestro país la enseñanza de valores éticos y cívicos mediante la enseñanza por vía digital de licenciaturas de humanidades. Diseñaron este gran proyecto para que los destinatarios fueran las personas que tienen menos acceso a la educación superior ya sea por vivir en lugares lejanos a las universidades ya sea por no contar con los recursos económicos y tecnológicos ya sea por falta de tiempo. Este grupo inicial entendió que los valores éticos y cívicos de la tradición occidental se han apoyado durante dos milenios en el Cristianismo por eso decidieron que la enseñanza de las Humanidades debería empezar por la filosofía perenne y por la teología católica para ofrecer más adelante otras áreas como Historia y Derecho.",Consolidarse como un instituto de educación humanista online que hace un servicio significativo a la sociedad a la cultura y a toda persona de buena voluntad en México y en América Latina alcanzando prestigio por su rigor por su eficacia pedagógica y sobre todo por la profundidad e incidencia de sus contenidos.,"Ofrecer una formación académica de alto nivel en el Humanismo cristiano a través de licenciaturas y futuros posgrados cursos y diplomados todo ello en línea superando así las limitaciones espacio-temporales mediante una educación a distancia y asíncrona y ante todo con una orientación al seguimiento teórico y práctico de la Verdad sobre el ser humano sobre el mundo y sobre Dios. ","Visión cristiana de la vida Compromiso existencial con la Verdad Rigor científico Primacía de la persona y respeto de su dignidad ",2021/07/12 11:16,2023/08/26 11:23
129,358,Escuela de Enfermeria y Nutricion Jalisco,Centro Educativo Jalisco A.C.,NULL,NULL,NULL,NULL,NULL,2021/07/12 16:58,1900/01/01 00:00,2021/07/12 17:01
130,518,HOMEOPATAS HAHNEMANN,Instituto Avedel A.C,NULL,"El INSTITUTO AVEDEL A. C.  fue fundado en 1977 por la profesora María Audelia Avedoy Delgado y constituido como Asociación Civil e incorporado ese mismo año a la Secretaria De Educación Publica (SEP) en capacitación para el trabajo con la clave 14PBT0046L. En 1988 se inician los estudios en Homeopatía comenzando formalmente el inicio dela primera generación en el año 1989 egresando la misma en 1991. ","SER una opción permanente de superación para personas que por diversas razones no pueden acceder a centros de estudio más grandes proporcionando en nuestro instituto una formación de calidad con valores humanos de respeto y amor a los semejantes. Distinguirnos por la calidad de la enseñanza y solidad formación de nuestros egresados tanto en los aspectos técnicos en sus conocimientos como en los aspecto humanos y de valores sociales. SER una institución para trasmitir el conocimiento a través de maestros con solida formación con amplia experiencia y vocación generosa que estén en permanente actualización de sus conocimientos para mantener un alto estándar de calidad en la educación.","Ayudar a formar personas en conocimientos y disciplinas que les permitan realizar su vocación de servicio a la sociedad para colaborar en el desarrollo del estado y de México a través de un desempeño profesional de calidad humana y profesional. ","Creemos en los valores humanos respetamos su espiritualidad bajo cualquier confesión y fomentamos todos los valores que hacen posible la convivencia de los seres humanos. Reconocemos la generosidad en el amor asía nuestro semejantes el valor sublime y una muestra de ello es ayudarles a conservar y mejorar su salud.",2021/07/14 12:16,2023/09/11 15:07
131,520,Instituto Superior de Ciencias Homeopáticas,Instituto Superior de Ciencias Homeopáticas S.C.,NULL,NULL,NULL,NULL,NULL,2021/07/22 12:55
